n
{name:外圆工艺}
{name:端面工艺}
{name:里孔工艺}
{name:锥面工艺}
{name:螺纹工艺}
{name:倒角工艺}
{name:外圆}
{name:外锥面}
{name:外圆弧}
{name:端面}
{name:切槽}
{name:内端面}
{name:内圆}
{name:内锥面}
{name:内槽}
{name:内弧}
{name:中心孔}
{name:外正锥面}
{name:外反锥面}
{name:内正锥面}
{name:内反锥面}
{name:外直螺纹}
{name:外锥（管）螺纹}
{name:内直螺纹}
{name:内锥（管）螺纹}
